Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""5s2.5p4.(3P<2>).8p""","=""2[2]*""","=""5/2""",6,"=""""","=""78732.074""","=""""","=""0.003""","=""1.454""","=""  78                                 :    11  5s2.5p4.(3P<2>).8p  2[3]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).8p""","=""2[2]*""","=""3/2""",4,"=""""","=""78815.2628""","=""""","=""0.0025""","=""1.71""","=""  72  5s2.5p4.(3P<2>).8p 2[1]*       :    12  5s2.5p4.(3P<2>).8p  2[2]* ""","=""L13998,L368,u56"""
"=""5s2.5p4.(3P<2>).8p""","=""2[1]*""","=""1/2""",2,"=""""","=""78779.9156""","=""""","=""0.0024""","=""1.479""","=""  80                                 :     9  5s2.5p4.(1D<2>).8p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).8p""","=""2[1]*""","=""3/2""",4,"=""""","=""79224.4978""","=""""","=""0.0019""","=""1.30""","=""  45  5s2.5p4.(3P<2>).8p 2[2]*       :    21  5s2.5p4.(1D<2>).6p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).8p""","=""2[3]*""","=""7/2""",8,"=""""","=""78844.149""","=""""","=""0.003""","=""""","=""  89                                 :    10  5s2.5p4.(1D<2>).8p  2[3]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).8p""","=""2[3]*""","=""5/2""",6,"=""""","=""78854.595""","=""""","=""0.003""","=""1.11""","=""  75                                 :    11  5s2.5p4.(3P<2>).8p  2[2]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7d""","=""2[1]""","=""1/2""",2,"=""""","=""78889.3531""","=""""","=""0.0022""","=""""","=""  64                                 :    16  5s2.5p4.(3P<1>).7s  2[1]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).7d""","=""2[1]""","=""3/2""",4,"=""""","=""79030.8318""","=""""","=""0.0018""","=""1.23""","=""  78  5s2.5p4.(3P<2>).7d 2[2]        :     8  5s2.5p4.(1D<2>).7d  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).7s""","=""2[1]""","=""3/2""",4,"=""""","=""78891.0285""","=""""","=""0.0018""","=""1.59""","=""  62                                 :    29  5s2.5p4.(3P<2>).7d  2[1]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).7s""","=""2[1]""","=""1/2""",2,"=""""","=""79285.1060""","=""""","=""0.0019""","=""""","=""  68  5s2.5p4.(3P<2>).7d 2[0]        :    12  5s2.5p4.(3P<0>).7s  2[0]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).7d""","=""2[3]""","=""7/2""",8,"=""""","=""78903.8826""","=""""","=""0.0024""","=""1.36""","=""  82                                 :     8  5s2.5p4.(1D<2>).7d  2[3]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7d""","=""2[3]""","=""5/2""",6,"=""""","=""78943.1882""","=""""","=""0.0023""","=""1.41""","=""  64  5s2.5p4.(3P<2>).7d 2[2]        :    23  5s2.5p4.(3P<2>).7d  2[3]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7d""","=""2[4]""","=""9/2""",10,"=""""","=""79054.833""","=""""","=""0.004""","=""1.332""","=""  89                                 :    10  5s2.5p4.(1D<2>).7d  2[4]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7d""","=""2[4]""","=""7/2""",8,"=""""","=""79150.374""","=""""","=""0.004""","=""""","=""  82                                 :     9  5s2.5p4.(1D<2>).7d  2[4]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).7d""","=""2[0]""","=""1/2""",2,"=""""","=""79393.0339""","=""""","=""0.0022""","=""""","=""  76  5s2.5p4.(3P<1>).7s 2[1]        :    16  5s2.5p4.(3P<2>).7d  2[1]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).7d""","=""2[2]""","=""3/2""",4,"=""""","=""79395.7471""","=""""","=""0.0020""","=""1.42""","=""  49  5s2.5p4.(3P<2>).7d 2[1]        :    32  5s2.5p4.(3P<1>).7s  2[1]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7d""","=""2[2]""","=""5/2""",6,"=""""","=""79418.3400""","=""""","=""0.0025""","=""1.17""","=""  51  5s2.5p4.(3P<2>).7d 2[3]        :    17  5s2.5p4.(3P<2>).7d  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).5f""","=""2[4]*""","=""9/2""",10,"=""""","=""79829.417""","=""""","=""0.003""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).5f  2[4]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5f""","=""2[4]*""","=""7/2""",8,"=""""","=""79832.7939""","=""""","=""0.0025""","=""""","=""  83                                 :     9  5s2.5p4.(1D<2>).5f  2[4]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5f""","=""2[2]*""","=""3/2""",4,"=""""","=""79834.739""","=""""","=""0.003""","=""""","=""  82                                 :     9  5s2.5p4.(1D<2>).5f  2[2]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).5f""","=""2[2]*""","=""5/2""",6,"=""""","=""79839.9979""","=""""","=""0.0023""","=""""","=""  53                                 :    33  5s2.5p4.(3P<2>).5f  2[3]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5f""","=""2[3]*""","=""5/2""",6,"=""""","=""79844.3129""","=""""","=""0.0022""","=""""","=""  57                                 :    32  5s2.5p4.(3P<2>).5f  2[2]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5f""","=""2[3]*""","=""7/2""",8,"=""""","=""79847.5290""","=""""","=""0.0025""","=""""","=""  83                                 :     9  5s2.5p4.(1D<2>).5f  2[3]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5f""","=""2[5]*""","=""11/2""",12,"=""""","=""79858.813""","=""""","=""0.004""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).5f  2[5]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5f""","=""2[5]*""","=""9/2""",10,"=""""","=""79859.389""","=""""","=""0.004""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).5f  2[5]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5f""","=""2[1]*""","=""3/2""",4,"=""""","=""79881.208""","=""""","=""0.006""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).5f  2[1]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5f""","=""2[1]*""","=""1/2""",2,"=""""","=""79881.588""","=""""","=""0.004""","=""""","=""  89                                 :    10  5s2.5p4.(1D<2>).5f  2[1]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5g""","=""2[4]""","=""7/2""",8,"=""""","=""79887.80""","=""""","=""0.06""","=""""","=""  90                                 :     9  5s2.5p4.(1D<2>).5g  2[4]  ""","=""L821,u56"""
"=""5s2.5p4.(3P<2>).5g""","=""2[4]""","=""9/2""",10,"=""""","=""79887.936""","=""""","=""0.016""","=""""","=""  75                                 :    15  5s2.5p4.(3P<2>).5g  2[5]  ""","=""L821,u56"""
"=""5s2.5p4.(3P<2>).5g""","=""2[5]""","=""11/2""",12,"=""""","=""79887.862""","=""""","=""0.005""","=""""","=""  90                                 :     9  5s2.5p4.(1D<2>).5g  2[5]  ""","=""L821,u56"""
"=""5s2.5p4.(3P<2>).5g""","=""2[5]""","=""9/2""",10,"=""""","=""79887.873""","=""""","=""0.007""","=""""","=""  76                                 :    15  5s2.5p4.(3P<2>).5g  2[4]  ""","=""L821,u56"""
"=""5s2.5p4.(3P<2>).5g""","=""2[3]""","=""7/2""",8,"=""""","=""79895.344""","=""""","=""0.005""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).5g  2[3]  ""","=""L821,u56"""
"=""5s2.5p4.(3P<2>).5g""","=""2[3]""","=""5/2""",6,"=""""","=""79895.487""","=""""","=""0.006""","=""""","=""  90                                 :     9  5s2.5p4.(1D<2>).5g  2[3]  ""","=""L821,u56"""
"=""5s2.5p4.(3P<2>).5g""","=""2[6]""","=""11/2""",12,"=""""","=""79899.683""","=""""","=""0.006""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).5g  2[6]  ""","=""L821,u56"""
"=""5s2.5p4.(3P<2>).5g""","=""2[6]""","=""13/2""",14,"=""""","=""79899.686""","=""""","=""0.008""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).5g  2[6]  ""","=""L821,u56"""
"=""5s2.5p4.(3P<2>).5g""","=""2[2]""","=""3/2""",4,"=""""","=""79904.560""","=""""","=""0.011""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).5g  2[2]  ""","=""L821,u56"""
"=""5s2.5p4.(3P<2>).5g""","=""2[2]""","=""5/2""",6,"=""""","=""79904.705""","=""""","=""0.005""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).5g  2[2]  ""","=""L821,u56"""
"=""5s2.5p4.(3P<2>).9s""","=""2[2]""","=""5/2""",6,"=""""","=""79914.5227""","=""""","=""0.0022""","=""1.56""","=""  86                                 :     9  5s2.5p4.(1D<2>).9s  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).9s""","=""2[2]""","=""3/2""",4,"=""""","=""79946.9763""","=""""","=""0.0024""","=""""","=""  87                                 :     9  5s2.5p4.(1D<2>).9s  2[2]  ""","=""L3674,u56"""
"=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""3/2""",4,"=""""","=""80039.650""","=""""","=""0.003""","=""""","=""  79                                 :     8  5s2.5p4.(3P<2>).5f  2[2]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""5/2""",6,"=""""","=""80125.2861""","=""""","=""0.0024""","=""1.05""","=""  81                                 :     7  5s2.5p4.(3P<2>).6p  2[2]* ""","=""L13998,L368,u56"""
"=""5s2.5p4.(1D<2>).5d""","=""2[4]""","=""9/2""",10,"=""""","=""80597.12""","=""?""","=""0.10""","=""""","=""  87                                 :    10  5s2.5p4.(3P<2>).5d  2[4]  ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).9p""","=""2[2]*""","=""3/2""",4,"=""""","=""80615.983""","=""""","=""0.012""","=""""","=""  51  5s2.5p4.(3P<2>).9p 2[1]*       :    37  5s2.5p4.(3P<2>).9p  2[2]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).9p""","=""2[2]*""","=""5/2""",6,"=""""","=""80624.176""","=""""","=""0.004""","=""""","=""  81                                 :     9  5s2.5p4.(1D<2>).9p  2[2]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).9p""","=""2[3]*""","=""5/2""",6,"=""""","=""80658.922""","=""""","=""0.005""","=""""","=""  83                                 :     9  5s2.5p4.(1D<2>).9p  2[3]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).9p""","=""2[3]*""","=""7/2""",8,"=""""","=""80661.147""","=""""","=""0.005""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).9p  2[3]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).8d""","=""2[3]""","=""7/2""",8,"=""""","=""80676.010""","=""""","=""0.003""","=""1.40""","=""  82                                 :     8  5s2.5p4.(1D<2>).8d  2[3]  ""","=""L13998,L368,u56"""
"=""5s2.5p4.(3P<2>).8d""","=""2[3]""","=""5/2""",6,"=""""","=""80679.946""","=""""","=""0.003""","=""1.37""","=""  74  5s2.5p4.(3P<2>).8d 2[2]        :    12  5s2.5p4.(3P<2>).8d  2[3]  ""","=""L13998,L368,u56"""
"=""5s2.5p4.(3P<2>).8d""","=""2[1]""","=""3/2""",4,"=""""","=""80690.783""","=""""","=""0.003""","=""""","=""  45  5s2.5p4.(3P<2>).8d 2[2]        :    17  5s2.5p4.(3P<2>).8d  2[1]  ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).8d""","=""2[1]""","=""1/2""",2,"=""""","=""80693.841""","=""""","=""0.004""","=""""","=""  47                                 :    35  5s2.5p4.(3P<2>).8d  2[0]  ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).9p""","=""2[1]*""","=""1/2""",2,"=""""","=""80720.728""","=""""","=""0.008""","=""""","=""  85                                 :    10  5s2.5p4.(1D<2>).9p  2[1]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).9p""","=""2[1]*""","=""3/2""",4,"=""""","=""80797.612""","=""""","=""0.004""","=""""","=""  48  5s2.5p4.(3P<2>).9p 2[2]*       :    36  5s2.5p4.(3P<2>).9p  2[1]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).8d""","=""2[4]""","=""9/2""",10,"=""""","=""80772.208""","=""""","=""0.003""","=""""","=""  89                                 :     9  5s2.5p4.(1D<2>).8d  2[4]  ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).8d""","=""2[4]""","=""7/2""",8,"=""""","=""80868.991""","=""""","=""0.004""","=""""","=""  73                                 :    10  5s2.5p4.(1D<2>).5d  2[4]  ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).8d""","=""2[2]""","=""3/2""",4,"=""""","=""80782.313""","=""""","=""0.004""","=""1.46""","=""  59  5s2.5p4.(3P<2>).8d 2[1]        :    28  5s2.5p4.(3P<2>).8d  2[2]  ""","=""L13998,L368,u56"""
"=""5s2.5p4.(3P<2>).8d""","=""2[2]""","=""5/2""",6,"=""""","=""80882.144""","=""""","=""0.003""","=""""","=""  66  5s2.5p4.(3P<2>).8d 2[3]        :    13  5s2.5p4.(1D<2>).5d  2[2]  ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).8d""","=""2[0]""","=""1/2""",2,"=""""","=""80825.456""","=""""","=""0.006""","=""""","=""  49                                 :    39  5s2.5p4.(3P<2>).8d  2[1]  ""","=""L13998,L21117,u56"""
"=""5s2.5p4.(1D<2>).5d""","=""2[1]""","=""3/2""",4,"=""""","=""81072.448""","=""""","=""0.003""","=""""","=""  19                                 :    15  5s2.5p4.(3P<0>).6d  2[2]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).6f""","=""2[4]*""","=""9/2""",10,"=""""","=""81199.620""","=""""","=""0.004""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).6f  2[4]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).6f""","=""2[4]*""","=""7/2""",8,"=""""","=""81201.541""","=""""","=""0.004""","=""""","=""  68                                 :    22  5s2.5p4.(3P<2>).6f  2[3]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).6f""","=""2[3]*""","=""5/2""",6,"=""""","=""81205.240""","=""""","=""0.004""","=""""","=""  87                                 :     9  5s2.5p4.(1D<2>).6f  2[3]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).6f""","=""2[3]*""","=""7/2""",8,"=""""","=""81207.057""","=""""","=""0.005""","=""""","=""  68                                 :    22  5s2.5p4.(3P<2>).6f  2[4]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).6f""","=""2[2]*""","=""3/2""",4,"=""""","=""81216.528""","=""""","=""0.006""","=""""","=""  88                                 :    10  5s2.5p4.(1D<2>).6f  2[2]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).6f""","=""2[2]*""","=""5/2""",6,"=""""","=""81218.998""","=""""","=""0.017""","=""""","=""  86                                 :     9  5s2.5p4.(1D<2>).6f  2[2]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).6f""","=""2[5]*""","=""11/2""",12,"=""""","=""81216.954""","=""""","=""0.007""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).6f  2[5]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).6f""","=""2[5]*""","=""9/2""",10,"=""""","=""81217.372""","=""""","=""0.004""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).6f  2[5]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).6f""","=""2[1]*""","=""1/2""",2,"=""""","=""81225.763""","=""""","=""0.004""","=""""","=""  88                                 :    10  5s2.5p4.(1D<2>).6f  2[1]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).6f""","=""2[1]*""","=""3/2""",4,"=""""","=""81227.078""","=""""","=""0.004""","=""""","=""  88                                 :    10  5s2.5p4.(1D<2>).6f  2[1]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).10s""","=""2[2]""","=""5/2""",6,"=""""","=""81252.267""","=""""","=""0.004""","=""1.53""","=""  86                                 :     9  5s2.5p4.(1D<2>).10s 2[2]  ""","=""L13998,L368,u56"""
"=""5s2.5p4.(3P<2>).10s""","=""2[2]""","=""3/2""",4,"=""""","=""81374.18""","=""""","=""0.03""","=""""","=""  81                                 :     8  5s2.5p4.(1D<2>).10s 2[2]  ""","=""L13998,u56"""
"=""5s2.5p4.(3P<1>).7p""","=""2[0]*""","=""1/2""",2,"=""""","=""81506.674""","=""""","=""0.004""","=""""","=""  72  5s2.5p4.(3P<0>).7p 2[1]*       :    14  5s2.5p4.(1S<0>).7p  2[1]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<0>).7p""","=""2[1]*""","=""1/2""",2,"=""""","=""81604.664""","=""""","=""0.005""","=""""","=""  84  5s2.5p4.(3P<2>).10p 2[1]*      :     9  5s2.5p4.(1D<2>).10p 2[1]* ""","=""L13998,u56"""
"=""5s2.5p4.(3P<0>).7p""","=""2[1]*""","=""3/2""",4,"=""""","=""81722.750""","=""""","=""0.004""","=""1.39""","=""  57                                 :    12  5s2.5p4.(3P<2>).10p 2[1]* ""","=""L13998,L368,u56"""
"=""5s2.5p4.(3P<2>).9d""","=""2[2]""","=""5/2""",6,"=""""","=""81642.095""","=""""","=""0.038""","=""""","=""  33                                 :    26  5s2.5p4.(3P<2>).9d  2[3]  ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).9d""","=""2[2]""","=""3/2""",4,"=""""","=""81694.026""","=""""","=""0.024""","=""""","=""  41  5s2.5p4.(3P<2>).9d 2[1]        :    27  5s2.5p4.(3P<2>).9d  2[2]  ""","=""L13998,u56"""
"=""5s2.5p4.(3P<2>).9d""","=""2[0]""","=""1/2""",2,"=""""","=""81665.738""","=""""","=""0.023""","=""""","=""  48                                 :    23  5s2.5p4.(3P<2>).9d  2[1]  ""","=""L13998,u56"""
